2,42
2,43
2,124
2,199
2,200
3,41
3,42
3,44
3,117
3,118
3,124
3,125
3,198
3,200
3,201
4,40
4,41
4,45
4,115
4,116
4,118
4,124
4,126
4,127
4,197
4,201
4,202
5,40
5,46
5,114
5,115
5,118
5,124
5,127
5,128
5,196
5,202
5,203
6,39
6,47
6,112
6,113
6,118
6,124
6,129
6,130
6,195
6,203
7,38
7,48
7,111
7,112
7,118
7,124
7,130
7,131
7,194
7,204
8,37
8,38
8,49
8,110
8,111
8,118
8,124
8,132
8,133
8,193
8,204
8,205
9,37
9,50
9,108
9,109
9,118
9,124
9,133
9,134
9,192
9,193
9,205
10,36
10,51
10,107
10,108
10,118
10,124
10,134
10,135
10,191
10,192
10,206
11,35
11,36
11,52
11,105
11,106
11,118
11,124
11,136
11,137
11,190
11,191
11,206
11,207
12,35
12,53
12,104
12,105
12,118
12,124
12,137
12,138
12,189
12,207
13,34
13,35
13,54
13,72
13,73
13,74
13,75
13,102
13,103
13,118
13,124
13,139
13,140
13,167
13,168
13,169
13,170
13,188
13,207
13,208
14,34
14,55
14,66
14,67
14,68
14,72
14,75
14,76
14,79
14,80
14,81
14,101
14,102
14,118
14,124
14,140
14,141
14,161
14,162
14,163
14,167
14,170
14,171
14,174
14,175
14,176
14,187
14,208
15,33
15,34
15,56
15,64
15,65
15,68
15,69
15,71
15,72
15,76
15,79
15,82
15,83
15,99
15,100
15,118
15,124
15,142
15,143
15,159
15,160
15,161
15,163
15,164
15,167
15,171
15,174
15,177
15,178
15,186
15,208
15,209
16,33
16,57
16,65
16,69
16,70
16,71
16,76
16,77
16,78
16,83
16,98
16,99
16,118
16,124
16,143
16,144
16,159
16,160
16,164
16,165
16,166
16,171
16,172
16,173
16,177
16,178
16,185
16,209
17,33
17,42
17,43
17,44
17,57
17,58
17,61
17,65
17,70
17,77
17,78
17,82
17,83
17,97
17,118
17,124
17,145
17,146
17,156
17,160
17,165
17,172
17,173
17,177
17,181
17,185
17,199
17,200
17,209
17,210
18,32
18,41
18,42
18,44
18,45
18,56
18,57
18,60
18,61
18,62
18,65
18,82
18,85
18,86
18,87
18,95
18,96
18,118
18,124
18,146
18,147
18,155
18,156
18,157
18,160
18,177
18,180
18,181
18,182
18,186
18,197
18,198
18,200
18,201
18,210
19,32
19,40
19,41
19,45
19,56
19,59
19,60
19,62
19,63
19,64
19,65
19,82
19,83
19,84
19,85
19,88
19,94
19,95
19,118
19,124
19,147
19,148
19,154
19,155
19,157
19,158
19,159
19,160
19,177
19,178
19,179
19,180
19,182
19,183
19,186
19,187
19,197
19,202
19,210
20,32
20,40
20,46
20,55
20,58
20,59
20,88
20,89
20,92
20,93
20,118
20,124
20,149
20,150
20,153
20,154
20,183
20,184
20,187
20,196
20,197
20,202
20,210
20,211
21,31
21,40
21,45
21,54
21,59
21,73
21,74
21,75
21,88
21,91
21,92
21,118
21,124
21,150
21,151
21,154
21,167
21,168
21,169
21,170
21,183
21,188
21,197
21,202
21,203
21,211
22,31
22,39
22,40
22,45
22,54
22,60
22,71
22,72
22,76
22,77
22,87
22,88
22,89
22,90
22,118
22,124
22,152
22,153
22,154
22,155
22,166
22,167
22,170
22,171
22,182
22,183
22,188
22,189
22,197
22,203
22,211
23,31
23,39
23,45
23,53
23,60
23,70
23,71
23,77
23,87
23,88
23,89
23,118
23,124
23,153
23,154
23,155
23,165
23,171
23,172
23,182
23,189
23,197
23,198
23,203
23,211
24,31
24,39
24,44
24,53
24,56
24,57
24,58
24,59
